% Xfiducial, Yfiducial=(  9.14  86.36), ( 76.20  86.36), (143.26  86.36), (  9.14  50.80), (143.26  50.80), (  9.14  15.24), ( 76.20  15.24), (143.26  15.24) mm 
% Sample, x(mm), y(mm), dx(mm), dy(mm), A(fraction), B(fraction), C(fraction), D(fraction), E(fraction), F(fraction), G(fraction), H(fraction), code(0=sample; 1=spectral reference; 2=ABCD control; 3=EFGH control; 4=duplicate sample) 
0178, 111.76,  79.25,  1.02,  1.02, 0.150, 0.750, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0179, 113.79,  79.25,  1.02,  1.02, 0.150, 0.700, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0180, 115.82,  79.25,  1.02,  1.02, 0.150, 0.650, 0.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0181, 117.85,  79.25,  1.02,  1.02, 0.150, 0.600, 0.250, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0182, 119.88,  79.25,  1.02,  1.02, 0.150, 0.550, 0.300, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0183, 121.92,  79.25,  1.02,  1.02, 0.150, 0.500, 0.350, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0184, 123.95,  79.25,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0185, 125.98,  79.25,  1.02,  1.02, 0.150, 0.450, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0186, 128.01,  79.25,  1.02,  1.02, 0.150, 0.400, 0.450, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0187, 130.04,  79.25,  1.02,  1.02, 0.150, 0.350, 0.500, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0188, 132.08,  79.25,  1.02,  1.02, 0.150, 0.300, 0.550, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0189, 134.11,  79.25,  1.02,  1.02, 0.150, 0.250, 0.600, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0190, 136.14,  79.25,  1.02,  1.02, 0.150, 0.200, 0.650, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0191, 138.17,  79.25,  1.02,  1.02, 0.150, 0.150, 0.700, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0192, 140.20,  79.25,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 3 
